id,province,lon,lat,phase,damage,facility
68,四川,103.93602708873888,30.366948099414337,强降雨,88.6,农田
69,四川,104.55373306363151,30.66468579062644,洪涝,120.6,道路
70,贵州,106.68480228248968,26.906053623661645,登陆,17.9,道路
71,贵州,106.26449111439337,26.416257202251458,强降雨,31.5,道路
72,贵州,106.285647909775,26.516053762874733,洪涝,44.0,电网
73,云南,102.41819731232745,25.129742775331046,登陆,26.1,农田
74,云南,102.4657212520699,25.294095427731143,强降雨,38.5,道路
75,云南,102.63817577256373,24.91520813438335,洪涝,48.2,道路
76,西藏,90.7630196607017,29.9482787722973,登陆,1.8,电网
77,西藏,91.18388042112639,29.61701215138841,强降雨,3.4,道路
78,西藏,91.57725093904664,29.775011774253525,洪涝,3.9,电网
79,陕西,109.27439501988603,34.391105739893874,登陆,27.5,电网
80,陕西,108.48162885816886,34.26039090919635,强降雨,42.0,道路
81,陕西,108.64987653833975,34.19131784353375,洪涝,75.2,道路
82,甘肃,103.88348351914387,36.28282763412466,登陆,8.9,电网
83,甘肃,103.56033733222935,35.855501060260266,强降雨,17.8,电网
84,甘肃,103.34838636189819,36.19993868305305,洪涝,26.3,农田
85,青海,101.68991316655155,36.71904427757292,登陆,3.4,电网
86,青海,102.06557450913547,36.38195737584177,强降雨,4.4,道路
87,青海,101.50063371754567,36.807051963358155,洪涝,8.3,房屋
88,宁夏,106.55143638097157,38.709993821517806,登陆,4.0,电网
89,宁夏,105.92402978832772,38.38415717071862,强降雨,5.5,道路
90,宁夏,106.01002499272188,38.57208904316458,洪涝,12.1,房屋
91,新疆,87.96046116327207,43.72428992092865,登陆,16.4,道路
92,新疆,88.08720061102223,43.63274068970348,强降雨,20.7,农田
93,新疆,87.71337125498775,43.73301226700788,洪涝,29.9,农田
